Ativo,cod_Ativo_guess,cod_Ativo_guess_norm,Fundo
LFT mar 30,LFTMAR30,LFTMAR30,FIRF GERAES
LFT jun 30,LFTJUN30,LFTJUN30,FIRF GERAES
LFT jun 31,LFTJUN31,LFTJUN31,FIRF GERAES
LFT set 27,LFTSET27,LFTSET27,FIRF GERAES
LFT mar 29,LFTMAR29,LFTMAR29,FIRF GERAES
LFT set 26,LFTSET26,LFTSET26,FIRF GERAES
LFT mar 30,LFTMAR30,LFTMAR30,FIRF GERAES 30
LFT set 26,LFTSET26,LFTSET26,HORIZONTE FIM
LFT mar 28,LFTMAR28,LFTMAR28,HORIZONTE FIM
Provisão,PROVISAO,PROVISAO,ALFA HORIZON FIA
Provisão,PROVISAO,PROVISAO,FIA MINAS
Provisão,PROVISAO,PROVISAO,FIRF GERAES
Provisão,PROVISAO,PROVISAO,FIRF GERAES 30
Provisão,PROVISAO,PROVISAO,HORIZONTE FIM
Provisão,PROVISAO,PROVISAO,MINAS EDUCAÇÃO FIA
Provisão,PROVISAO,PROVISAO,MINAS O.N.E. FIA
IBOVL290,IBOVL290,IBOVL290,FIA MINAS
IBOVL240,IBOVL240,IBOVL240,FIA MINAS
IBOVX163,IBOVX163,IBOVX163,FIA MINAS
LFSN22006YJ (LFSN22006YJ),LFSN22006YJ,LFSN22006YJ,FIRF GERAES
LFSN22006YJ (LFSN22006YL),LFSN22006YJ,LFSN22006YJ,FIRF GERAES
LFSN22006YJ,LFSN22006YJ,LFSN22006YJ,FIRF GERAES 30
LFSN2200B4M,LFSN2200B4M,LFSN2200B4M,FIRF GERAES
LFSN2200B4M,LFSN2200B4M,LFSN2200B4M,FIRF GERAES 30
LFSN2200B4M,LFSN2200B4M,LFSN2200B4M,HORIZONTE FIM
LFSN2600616,LFSN2600616,LFSN2600616,FIRF GERAES
LFSN2600616,LFSN2600616,LFSN2600616,FIRF GERAES 30
LFSN2600616,LFSN2600616,LFSN2600616,HORIZONTE FIM
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES 30
LFSN250093T,LFSN250093T,LFSN250093T,HORIZONTE FIM
LFSN1900008,LFSN1900008,LFSN1900008,FIRF GERAES
LFSN1800HXO,LFSN1800HXO,LFSN1800HXO,FIRF GERAES
LFSN1900CR5,LFSN1900CR5,LFSN1900CR5,FIRF GERAES 30
LFSN RCI,LFSNRCI,LFSNRCI,FIRF GERAES
LFSN RCI,LFSNRCI,LFSNRCI,FIRF GERAES 30
LFSN19006KN,LFSN19006KN,LFSN19006KN,FIRF GERAES
LFSN19001BH,LFSN19001BH,LFSN19001BH,FIRF GERAES
LFSN210099R,LFSN210099R,LFSN210099R,FIRF GERAES
LFSN19006KM,LFSN19006KM,LFSN19006KM,FIRF GERAES 30
LFSN19006KM,LFSN19006KM,LFSN19006KM,HORIZONTE FIM
LFSN210099R,LFSN210099R,LFSN210099R,HORIZONTE FIM
LFSN2500G1T,LFSN2500G1T,LFSN2500G1T,FIRF GERAES
LFSN1800DIG,LFSN1800DIG,LFSN1800DIG,FIRF GERAES
LFSN2500G1T,LFSN2500G1T,LFSN2500G1T,FIRF GERAES 30
LFSN2200E75,LFSN2200E75,LFSN2200E75,FIRF GERAES
LFSN2200E75,LFSN2200E75,LFSN2200E75,FIRF GERAES 30
LFSN2200E75,LFSN2200E75,LFSN2200E75,HORIZONTE FIM
LFSN2200CI1,LFSN2200CI1,LFSN2200CI1,FIRF GERAES
LFSN2200CI1,LFSN2200CI1,LFSN2200CI1,FIRF GERAES 30
LFSN2200CI1,LFSN2200CI1,LFSN2200CI1,HORIZONTE FIM
LFSN2200C70,LFSN2200C70,LFSN2200C70,HORIZONTE FIM
LFSN2200G2L,LFSN2200G2L,LFSN2200G2L,FIRF GERAES
LFSN2200G7D,LFSN2200G7D,LFSN2200G7D,FIRF GERAES 30
